"Date","Bill","Motion","Location","Type","Bill Title"
"2025-04-11","SB 435","3rd Reading Concurred","House","Absent","Generally revise laws related to mentally ill individuals"
"2025-04-11","SB 437","3rd Reading Concurred","House","Absent","Revise definition of sex in Montana law"
"2025-04-11","SB 440","3rd Reading Concurred","House","Absent","Revising election laws related to reporting election results"
"2025-04-11","SB 441","3rd Reading Concurred","House","Absent","Establishing the Montana block management enforcement network"
"2025-04-11","SB 442","3rd Reading Concurred","House","Absent","Revise real property manager licensing laws"
"2025-04-11","SB 444","3rd Reading Concurred","House","Absent","Revise laws related to search warrants"
"2025-04-11","SB 446","3rd Reading Concurred","House","Absent","Revise laws related to healthcare utilization review"
"2025-04-11","SB 447","3rd Reading Concurred","House","Absent","Revise laws related to prior authorization"
"2025-04-11","SB 449","3rd Reading Concurred","House","Absent","Generally revise health utilization review laws"
"2025-04-11","SB 45","3rd Reading Concurred","House","Absent","Create a judicial performance evaluation commission and system"
"2025-04-11","SB 457","3rd Reading Concurred","House","Absent","Revise laws regarding legislative subpoenas"
"2025-04-11","SB 458","3rd Reading Concurred","House","Absent","Revise commercial property assessed capital enhancement program laws"
"2025-04-11","SB 464","3rd Reading Concurred","House","Absent","Revise laws related to appointment of special advocates in abuse and neglect cas..."
"2025-04-11","SB 466","3rd Reading Concurred","House","Absent","Establish factors when determining best interest of child"
"2025-04-11","SB 468","3rd Reading Concurred","House","Absent","Establish central registry for individuals who are the subject of a substantiate..."
"2025-04-11","SB 472","3rd Reading Concurred","House","Absent","Revise penalties for violations under 310 permit process"
"2025-04-11","SB 474","Taken from Committee; Placed on 2nd Reading","House","Absent","Require acceptance of religious and personal medical exemptions to required immu..."
"2025-04-11","SB 48","3rd Reading Concurred","House","Absent","Generally revise laws relating to Judicial Standards Commission complaints"
"2025-04-11","SB 482","3rd Reading Concurred","House","Absent","Revise contract laws relating to student athletes"
"2025-04-11","SB 486","3rd Reading Concurred","House","Absent","Revise equal opportunity education savings account funding"
"2025-04-11","SB 490","3rd Reading Concurred","House","Absent","Revise election laws regarding late registration"
"2025-04-11","SB 492","3rd Reading Concurred","House","Absent","Generally revise business disclosure statement requirements for elected official..."
"2025-04-11","SB 493","3rd Reading Concurred","House","Absent","Establish the offense of trespass by unmanned aerial vehicle"
"2025-04-11","SB 497","3rd Reading Concurred","House","Absent","Provide laws related to healthcare provider burnout"
"2025-04-11","SB 498","3rd Reading Concurred","House","Absent","Revise election laws related to preparation procedures for primary elections"
"2025-04-11","SB 503","3rd Reading Concurred","House","Absent","Allow use of expired opioid antagonists"
"2025-04-11","SB 508","3rd Reading Concurred","House","Absent","Generally revise driving under the influence laws for THC levels in drivers unde..."
"2025-04-11","SB 511","3rd Reading Concurred","House","Absent","Generally revising laws related to litigation financing"
"2025-04-11","SB 516","3rd Reading Concurred","House","Absent","Update licensing requirements for facilities licensed by the department of publi..."
"2025-04-11","SB 518","3rd Reading Concurred","House","Absent","Transfer licensing of emergency medical providers to the department of labor and..."
"2025-04-11","SB 520","3rd Reading Concurred","House","Absent","Revise laws regarding mining leases on state lands"
"2025-04-11","SB 524","3rd Reading Concurred","House","Absent","Revise laws relating to category D assisted living facilities"
"2025-04-11","SB 528","3rd Reading Concurred","House","Absent","Revising laws related to credit card transaction fees"
"2025-04-11","SB 65","3rd Reading Concurred","House","Absent","Revise change-of-name laws"
"2025-04-11","SB 67","3rd Reading Concurred","House","Absent","Provide for the use of autonomous vehicles"
"2025-04-11","SB 69","3rd Reading Concurred","House","Absent","Revise county attorney reporting requirements for child sexual abuse"
"2025-04-11","SB 70","3rd Reading Concurred","House","Absent","Generally revise laws related to supervision on probation"
"2025-04-11","SB 77","3rd Reading Concurred","House","Absent","Require conservation districts to comply with state procurement laws"
"2025-04-11","SB 90","Taken from Committee; Placed on 2nd Reading","House","Absent","Redistribute certain state tax revenue to primary residence property tax relief"
"2025-04-11","SB 97","3rd Reading Concurred","House","Absent","Revise venue laws for cases challenging constitutionality of recent laws"
"2025-04-18","SB 321","2nd Reading Motion to Amend Carried","House","Absent","Provide tax credits for children and child care"
